audiencia,video_url,speaker_diar,inicio,fin,n_segmentos,tiempo_total_s,identidad,rol,rango_militar,evidencia_identificacion,confianza,uso,muestra_texto
CostaCaribe,,SPEAKER_48,01:08:26,01:09:47,22,53.6,,,,,,EXCLUIR?,"Buenos días, yo soy la madre de Luis Eduardo Nyate, lo trajeron de la junta y lo mataron acá en Curazao, acá en Vadillo. Nosotros somos desplazados de potrerito, buscando recursos con el ejército. ¿Qué encontramos nosotros? Enemigo alante, enemigo atrás y enemigo por los costados. Y nosotros somos desplazados. Y toda esa feria me ha tocado a mí sola, porque el papá de mis hijos falleció. Si mi hij"
CostaCaribe,,SPEAKER_07,00:47:14,01:50:37,9,46.4,,,,,,EXCLUIR?,"y y y y y Muy buenos días, mi nombre es Eber Hernán Gómez Naranjo. Muy buenos días, mi nombre es Eduardo Gustavo Álvarez Mejía. Sumillano, buenos días. Mi nombre es Ibeli Villason, autoridad del pueblo Cancuamo, coordinadora de mujeres."
CostaCaribe,,SPEAKER_06,00:46:48,01:50:06,18,43.3,,,,,,EXCLUIR?,"y y y y y y y y Muchísimas gracias. Buenos días. Mi nombre es Jaime Enrique Arias, miembro del pueblo Cancuamo. Digamos el estado, en vez de cuidarnos, lo que hace es acabarnos."
CostaCaribe,,SPEAKER_12,01:17:05,01:51:44,7,38.1,,,,,,EXCLUIR?,"Buenos días para todas las personas presentes en esta diligencia, para quienes nos observan desde sus casas, especialmente a las víctimas, quienes una vez más con su fortaleza nos acompañan en este espacio. Mi nombre es Daniela Estefanía Rodríguez, soy abogada integrante de la Fundación Comité de Solidaridad con los Presos Políticos y acudo a esta diligencia como representante judicial de un númer"
CostaCaribe,,SPEAKER_10,00:51:27,01:48:12,9,34.5,,,,,,EXCLUIR?,"y y y y y Buenos días para los señores magistrados, buenos días para las víctimas, gracias por estar presentes, por su valentía, para los comparecientes y para toda la audiencia. Mi nombre es Jorge Fuentes y pertenezco a la Corporación Defensoría Militar y actúo como apoderado del señor Esquin Rojas."
CostaCaribe,,SPEAKER_58,01:07:45,01:24:37,8,30.2,,,,,,EXCLUIR?,"Buenos días, mi nombre es Tobias Enrique Mendoza, soy padre de tres víctimas, asesinado el 3 de julio de 2005. Y de Tobias Mendoza y Néstor Enrique Mendoza Ramírez, fue asesinado el 3 de agosto de 2005 por el batallón La Popa. Muy buenos días. Mi nombre es Isabel Gutiérrez, soy el coordinador de mayores del pueblo Cancuamo."
CostaCaribe,,SPEAKER_50,01:20:44,01:21:11,1,26.2,,,,,,EXCLUIR?,"Muy buenos días, señores magistrados. Un saludo especial para las víctimas, para sus representantes, para las autoridades indígenas, a los señores comparecientes y a toda la audiencia. Se presenta Nora Cecilia Rodríguez Romero, pertenezco al Fondo de Defensa Técnica para la Fuerza Pública, Fondetec, ejerzo la defensa del señor compareciente Elkin Leonardo Burgos Suárez, subteniente retirado del Ej"
CostaCaribe,,SPEAKER_46,01:16:21,01:26:36,2,23.8,,,,,,EXCLUIR?,"Muy buenos días, mi nombre es Elkin Rojas. Buenos días. Presento un saludo a las víctimas y sus representantes, a sus familiares, a las comunidades indígenas y a sus autoridades, a los comparecientes y a sus representantes, a la magistratura, a las organizaciones que nos acompañan, a los organismos de cooperación, a los señores procuradores delegados que nos acompañan aquí presentes y a quienes si"
CostaCaribe,,SPEAKER_44,01:00:05,01:24:29,8,23.4,,,,,,EXCLUIR?,"y y y Buenos días, mi nombre es Anaíri Loperena, integrante de la Comisión de Mujeres del Pueblo Uigua, y pues me acompañan acá las dos mayores espirituales, José Antonio Alberto y Emerigilda Mojica. Muy buenos días. Mi nombre es Isabel López, gobernador del pueblo Cancuamo. Soy Ibeli Villason, autoridad del pueblo Cancuamo, coordinadora de mujeres."
CostaCaribe,,SPEAKER_56,01:22:34,01:22:56,1,21.9,,,,,,EXCLUIR?,"Muy buen día para las víctimas aquí presentes y ausentes, a los honorables magistrados, a los apoderados de las víctimas, a los comparecientes, a los colegas defensores, a la audiencia en general. Se presenta Miguel Enrique Ballona Rodríguez, se representó al ciudadano Juan Carlos Soto, pertenezco al Fondo de Defensa Técnica del Ministerio de Defensa Nacional. Muchas gracias."
CostaCaribe,,SPEAKER_25,01:01:52,01:03:11,3,21.6,,,,,,EXCLUIR?,y y y y y y y y y
CostaCaribe,,SPEAKER_27,01:22:58,01:24:50,3,19.8,,,,,,EXCLUIR?,"Muy buenos días para las víctimas, para todos los presentes en la audiencia, para la magistratura. Mi nombre es Sandra Rocío Hernández Cruz, soy abogada del Fondo de Defensa Técnico del Ministerio de Defensa y represento judicialmente a Carlos Andrés Lora Cabrales. Sumillano, soy Chirly Matilde Arias Montero, ahogada indígena del pueblo Cancuamo."
CostaCaribe,,SPEAKER_28,01:10:39,01:11:00,3,19.5,,,,,,EXCLUIR?,"Muy buenos días, mi nombre es Neyla Elisaria Ascorzo, indígena del pueblo Cancuamo de la Sierra Nevada de Santa Marta, y vengo en representación de mi papá, Enrique Láine Jarias Martínez, muerto el 22 de junio del 2004 por miembro del Ejército Nacional en el corregimiento de atanques. Gracias."
CostaCaribe,,SPEAKER_54,01:17:58,01:18:16,2,17.9,,,,,,EXCLUIR?,"Cordial saludo, honorables magistrados, saludo extensivo a todos los presentes, especialmente a las valientes víctimas que tenemos aquí adelante. Se presenta Lina Hortado, abogada del Comité de Solidaridad con los Presos Políticos en representación de 16 familias hoy aquí presentes. Gracias."
CostaCaribe,,SPEAKER_53,01:04:26,01:04:46,4,17.1,,,,,,EXCLUIR?,"Buenos días a todos y a todas, mi nombre es Solmerce de Maestras Rodríguez, pertenezco al Resguardo Indígena Cancuamo, Atanque Cesar. Soy hermana de Víctor Hugo Maestras Rodríguez, asesinado el 4 de octubre del 2004 en la región de Atanque. Muy buenos días para todos dentro del recinto, mi nombre es Laura Piña, soy la hija del que para mí era el mejor papá del mundo, Álvaro Adolfo Piña Londoño."
CostaCaribe,,SPEAKER_47,01:04:00,01:04:19,4,16.7,,,,,,EXCLUIR?,"Buenos días, mi nombre es Enrique Mendoza Montero, hermano de la víctima Diver José Mendoza Montero, quien fue asesinado el 3 de junio del 2005 en la comunidad, en el caserío de Abingüe."
CostaCaribe,,SPEAKER_55,01:12:49,01:13:07,6,15.5,,,,,,EXCLUIR?,"Buenos días, mi nombre es Edilma Loperena Plata, soy coordinadora de Mujeres del Pueblo Uigua, y estamos haciendo acompañamiento a las víctimas, y estamos también con nuestras guías espirituales, la saga Emerigilda y la saga Josefa. Muchas gracias."
CostaCaribe,,SPEAKER_37,01:01:16,01:01:34,3,14.9,,,,,,EXCLUIR?,y y y y y y y
CostaCaribe,,SPEAKER_39,01:06:04,01:06:26,4,14.5,,,,,,EXCLUIR?,"Muy buenos días para todos dentro del recinto, mi nombre es Aida Arias, vengo de la comunidad de Guadalpurí. Era la compañera de Uriel Evangelista Arias Arias, víctima del grupo Trueno y Zarpaso del batallón La Popa, aquí presente. Buenos días, soy Mery Hernandez, la madre de Rey de Jesús Pacheco Hernandez, asesinado en el 2005, vengo de Varano Atlántico."
CostaCaribe,,SPEAKER_29,01:05:33,01:06:48,3,14.2,,,,,,EXCLUIR?,"Mi nombre es Hermen Antonio Martínez Carrillo, hermana de Luis Carlos Meza Viana, Muy buenos días, mi nombre es Luis Ester Contreras, represento a mi hermano Luis Felipe Contreras. Buenos días, vengo del Uruguay Atlántico, soy Luis Carlos Beltrán, el padre de Edgar Beltrán Hurtado, asesinado por el batallón La Popa."
CostaCaribe,,SPEAKER_33,01:04:49,01:05:04,4,14.1,,,,,,EXCLUIR?,"Muy buenos días para todos dentro del recinto, mi nombre es Laura Piña, soy la hija del que para mí era el mejor papá del mundo, Álvaro Adolfo Piña Londoño. Muy buenos días, Luis Carlos Meza Viana, hermano de Alberto Edwin Meza Viana, como víctima."
CostaCaribe,,SPEAKER_59,01:25:37,01:25:53,4,13.9,,,,,,EXCLUIR?,"Soy el director de la Comisión de Derechos Humanos y Paz del Pueblo Indígena Cancuamo. Sumui, de Inglina a Buñina de Mnuki. Mi nombre es Pedro Manuel Lóperena, comisionado de derechos humanos del pueblo indígena Uiwa de la Sierra Nevada de Santa Marta, corazón del mundo."
CostaCaribe,,SPEAKER_17,01:00:14,01:00:59,2,13.7,,,,,,EXCLUIR?,y y y y y y
CostaCaribe,,SPEAKER_15,01:05:11,01:15:59,4,12.9,,,,,,EXCLUIR?,"Mi nombre es Elmi Delfina Bolaño Mindiola, hermana de Verde Jesús Monteiro Mindiola. Buenos días, mi nombre es Guillermo Gutiérrez Rivera. Muy buenos días, mi nombre es Juan Carlos Soto Sepúlveda."
CostaCaribe,,SPEAKER_35,01:07:19,01:07:37,7,12.5,,,,,,EXCLUIR?,"Buenos días, soy Ady Hurtado, la madre de Edgar Beltrán Hurtado, asesinado el 15 de agosto del 2003, asesinado por el grupo Armado de La Popa, en Mina Iracales."
CostaCaribe,,SPEAKER_30,01:00:32,01:00:47,4,12.5,,,,,,EXCLUIR?,y y y y y y
CostaCaribe,,SPEAKER_52,01:18:21,01:18:33,1,12.2,,,,,,EXCLUIR?,"Mi nombre es María Paula Lemus, integrante del Colectivo de Abogados José Albear Restrepo y actúo en calidad de representante de víctimas. Muy buenos días. Mi nombre es Fernan Ramón Serra Silva, soy representante de víctimas"
CostaCaribe,,SPEAKER_57,01:25:00,01:25:14,2,12.0,,,,,,EXCLUIR?,"Sumillano, mi nombre es Javier Arias, coordinador general de la Comisión de Derechos Humanos y Paz del Pueblo Indígena Cancuamo. Buenos días. Mi nombre es Vítor Eduardo Martínez y yo soy el fiscal general del pueblo Cancuamo. Buenos días. Mi nombre es Marcelina Cáceres, autoridad tradicional del pueblo Cancuamo."
CostaCaribe,,SPEAKER_36,01:05:23,01:10:37,3,11.5,,,,,,EXCLUIR?,"Muy buenos días, mi nombre es Nery Baca, vengo en representación de mi primo Evelio Baca."
CostaCaribe,,SPEAKER_32,01:10:29,01:12:23,3,11.4,,,,,,EXCLUIR?,"Buenos días, vengo, yo soy la madre de Adalberto Basquetorre, la muerte fue en el Copay César de 2005, el 16 de marzo."
CostaCaribe,,SPEAKER_61,01:20:31,01:20:42,1,11.1,,,,,,EXCLUIR?,"Muy buenos días, un saludo respetuoso a las víctimas, a la magistratura. Mi nombre es Diego Andrés Vargas Acuña, represento al compareciente José de Jesús Rueda Quintero. Muchas gracias."
CostaCaribe,,SPEAKER_14,01:01:02,01:16:12,3,10.8,,,,,,EXCLUIR?,"y y y y Muy buenos días, mi nombre es Ale Océ Mercado Sierra."
CostaCaribe,,SPEAKER_20,01:11:32,01:11:43,2,10.7,,,,,,EXCLUIR?,"Muy buenos días, mi nombre es Janette Colpas, compañera de Álvaro César Oliveras Granado, víctima de la masacre de la Yede Patial, hecho ocurrido el 12 de abril del año 2002."
CostaCaribe,,SPEAKER_21,01:10:03,01:10:14,2,10.6,,,,,,EXCLUIR?,"Buenos días, mi nombre es María Bernarda Blanquiset, hermana de Ronald José Blanquiset Cano, asesinado en la vereda Los Seis Botes de Pueblo Bello, el 9 de septiembre de 2004."
CostaCaribe,,SPEAKER_24,01:00:49,01:00:59,1,10.4,,,,,,EXCLUIR?,y y y y
CostaCaribe,,SPEAKER_34,01:01:38,01:11:16,5,10.1,,,,,,EXCLUIR?,y y y y y
CostaCaribe,,SPEAKER_38,01:11:03,01:11:13,4,9.7,,,,,,EXCLUIR?,"Muy buenos días, mi nombre es Ángela Beltrán Hurtado, hermana de la víctima Edgar Beltrán Hurtado, muerto en minas de Irakal."
CostaCaribe,,SPEAKER_60,01:11:48,01:11:58,2,9.7,,,,,,EXCLUIR?,"Muy buenos días, mi nombre es Marquis José Oñate Aria, hermano de la víctima Néstor Rafael Oñate Aria, asesinado el 17 de abril del 2004."
CostaCaribe,,SPEAKER_51,01:02:21,01:02:30,1,9.6,,,,,,EXCLUIR?,y y y
CostaCaribe,,SPEAKER_22,01:00:00,01:05:57,5,9.6,,,,,,EXCLUIR?,"y mi nombre es Hermen Antonio Martínez Carrillo, de la víctima de mi hijo, Hermen Enrique."
CostaCaribe,,SPEAKER_18,01:00:01,01:15:46,4,9.6,,,,,,EXCLUIR?,"Buenos días, mi nombre es Yeris Andrés Gómez Coronel y pertenecí al batallón La Popa. Muy buenos días, mi nombre es Carlos Andrés Lora Cabrales."
CostaCaribe,,SPEAKER_49,01:19:35,01:19:45,2,9.2,,,,,,EXCLUIR?,"Buenos días, señores magistrados y demás asistentes. Quien se identifica es Smith Ludis Pedraza Amizar, quien actúa como apoderada de víctima de la comunidad Cancuama. Gracias."
CostaCaribe,,SPEAKER_31,01:02:03,01:02:13,2,8.7,,,,,,EXCLUIR?,y y y y
CostaCaribe,,SPEAKER_16,01:03:14,01:03:23,1,8.4,,,,,,EXCLUIR?,y y y y
CostaCaribe,,SPEAKER_45,01:07:04,01:07:14,4,8.2,,,,,,EXCLUIR?,"Buenos días, soy Ady Hurtado, la madre de Edgar Beltrán Hurtado, asesinado el 15 de agosto del 2003, vengo de la comunidad de Guadalpurí."
CostaCaribe,,SPEAKER_42,01:03:41,01:03:54,3,8.1,,,,,,EXCLUIR?,"María, yo soy la mamá de Carlos Mario y él me lo asesinaron en el 2004. Me duele mucho lo que le haya pasado."
CostaCaribe,,SPEAKER_26,01:03:29,01:03:36,1,7.7,,,,,,EXCLUIR?,"Mi nombre es Elizabeth Coronado, soy hermana de Carlos Mario Navarro, asesinada el 27 de febrero del 2004 en San Juan."
CostaCaribe,,SPEAKER_43,01:11:21,01:11:32,2,6.6,,,,,,EXCLUIR?,"Muy buenos días, mi nombre es Lucía Flores, madrasta de la víctima Carlos Mario Navarro Montaño."
CostaCaribe,,SPEAKER_13,01:24:52,01:24:58,1,6.0,,,,,,EXCLUIR?,"Sumillano, mi nombre es Iván Adolfo Lúquez Mindiola, yo soy el secretario general del pueblo Cancuamo. Sumillano, mi nombre es Javier Arias, coordinador general de la Comisión de Derechos Humanos y Paz del Pueblo Indígena Cancuamo."
CostaCaribe,,SPEAKER_40,01:06:48,01:06:59,2,5.9,,,,,,EXCLUIR?,"Buenos días, vengo del Uruguay Atlántico, soy Luis Carlos Beltrán, el padre de Edgar Beltrán Hurtado, asesinado por el batallón La Popa."
CostaCaribe,,SPEAKER_41,01:25:17,01:25:22,1,5.8,,,,,,EXCLUIR?,"Sumui, de Inglina a Buñina de Mnuki. Mi nombre es Pedro Manuel Lóperena,"
CostaCaribe,,SPEAKER_23,01:09:53,01:10:00,3,5.4,,,,,,EXCLUIR?,"Buenos días, mi nombre es Wilmer Enrique Nyate y soy hermano de la víctima Luis Eduardo Nyate."
